UID,Generation,Cost,Parent_A,Parent_B
chrom_c2d1e21e,0,688657.6333,NONE,NONE
chrom_4f207640,0,696764.6428,NONE,NONE
chrom_d5889d4e,0,720166.2781,NONE,NONE
chrom_cf2dbb32,0,733991.9869,NONE,NONE
chrom_dd544b10,0,752926.8086,NONE,NONE
chrom_674960f5,1,677246.11,chrom_c2d1e21e,chrom_4f207640
chrom_c2d1e21e,0,688657.6333,NONE,NONE
chrom_0248f9d3,1,694134.3744,chrom_c2d1e21e,chrom_4f207640
chrom_4f207640,0,696764.6428,NONE,NONE
chrom_2529b0b6,1,699458.4772,chrom_d5889d4e,chrom_cf2dbb32
chrom_98be9c3b,2,670080.5723,chrom_c2d1e21e,chrom_0248f9d3
chrom_674960f5,1,677246.11,chrom_c2d1e21e,chrom_4f207640
chrom_c2d1e21e,0,688657.6333,NONE,NONE
chrom_78e306c1,2,689163.7489,chrom_674960f5,chrom_0248f9d3
chrom_3d76bd04,2,779104.0148,chrom_0248f9d3,chrom_4f207640
chrom_98be9c3b,2,670080.5723,chrom_c2d1e21e,chrom_0248f9d3
chrom_674960f5,1,677246.11,chrom_c2d1e21e,chrom_4f207640
chrom_04707e63,3,682995.8439,chrom_674960f5,chrom_78e306c1
chrom_85c1c2d9,3,693350.8352,chrom_c2d1e21e,chrom_78e306c1
chrom_a0d3e4cf,3,719717.6209,chrom_98be9c3b,chrom_c2d1e21e
chrom_98be9c3b,2,670080.5723,chrom_c2d1e21e,chrom_0248f9d3
chrom_674960f5,1,677246.11,chrom_c2d1e21e,chrom_4f207640
chrom_6fd489cb,4,677319.5728,chrom_98be9c3b,chrom_674960f5
chrom_e77f373c,4,705657.2074,chrom_04707e63,chrom_85c1c2d9
chrom_0a0b773c,4,716639.6234,chrom_98be9c3b,chrom_674960f5
