UID,Generation,Cost,Parent_A,Parent_B
chrom_4bbf1c87,0,0.0,NONE,NONE
chrom_852ff8aa,0,228.5004,NONE,NONE
chrom_f888a95b,0,35937.5886,NONE,NONE
chrom_bb8595d4,0,40420.0188,NONE,NONE
chrom_4bbf1c87,0,0.0,NONE,NONE
chrom_b1e4892b,1,0.0,chrom_4bbf1c87,chrom_852ff8aa
chrom_a61b8579,1,2995.3856,chrom_852ff8aa,chrom_f888a95b
chrom_e1f56301,1,36948.3814,chrom_852ff8aa,chrom_f888a95b
chrom_4bbf1c87,0,0.0,NONE,NONE
chrom_2edf10d1,2,0.0,chrom_b1e4892b,chrom_a61b8579
chrom_8e66246d,2,8980.1795,chrom_b1e4892b,chrom_a61b8579
chrom_8f5e1e47,2,26387.3884,chrom_b1e4892b,chrom_4bbf1c87
