Generation,Global_Best_Cost,Population_Mean_Cost,Active_Mutation_Rate,Stagnation_Counter
2,150876.401,168246.7644,0.75,1
3,150876.401,159466.6606,0.706,2
4,150876.401,163364.3747,0.674,3
5,150876.401,159877.0746,0.654,4
6,150876.401,160655.2031,0.646,5
7,150876.401,162257.0519,0.65,6
8,150876.401,157146.3078,0.666,7
9,145060.5421,158117.9957,0.694,0
10,145060.5421,160467.1254,0.35,1
11,145060.5421,159954.0471,0.306,2
12,145060.5421,163114.2155,0.274,3
13,145060.5421,159666.5585,0.254,4
14,145060.5421,157766.4894,0.246,5
15,145060.5421,160846.8192,0.25,6
16,145060.5421,159705.6454,0.266,7
