UID,Generation,Cost,Parent_A,Parent_B
chrom_20139926,0,150876.401,NONE,NONE
chrom_fffccc29,0,151708.8933,NONE,NONE
chrom_75a1741d,0,155850.4731,NONE,NONE
chrom_7b6c3d68,0,156228.2941,NONE,NONE
chrom_aa90ac8d,0,161929.5547,NONE,NONE
chrom_36744cb8,0,165472.9727,NONE,NONE
chrom_f8ba0fce,0,166804.6294,NONE,NONE
chrom_1a59a2fc,0,171652.8995,NONE,NONE
chrom_ea253947,0,172548.6323,NONE,NONE
chrom_f7a45c04,0,178962.098,NONE,NONE
chrom_20139926,0,150876.401,NONE,NONE
chrom_fffccc29,0,151708.8933,NONE,NONE
chrom_267b8379,1,167327.1484,chrom_20139926,chrom_aa90ac8d
chrom_e7530794,1,168308.4257,chrom_fffccc29,chrom_7b6c3d68
chrom_07900408,1,170567.0588,chrom_75a1741d,chrom_f8ba0fce
chrom_33a2114e,1,172300.5382,chrom_fffccc29,chrom_36744cb8
chrom_ab7ad175,1,172698.8084,chrom_20139926,chrom_fffccc29
chrom_d9461fd1,1,175149.5091,chrom_fffccc29,chrom_36744cb8
chrom_277336ba,1,175271.0388,chrom_20139926,chrom_fffccc29
chrom_16b43a58,1,178259.8224,chrom_75a1741d,chrom_36744cb8
chrom_20139926,0,150876.401,NONE,NONE
chrom_fffccc29,0,151708.8933,NONE,NONE
chrom_7573fe94,2,156866.9113,chrom_07900408,chrom_33a2114e
chrom_04c45935,2,158482.7113,chrom_fffccc29,chrom_e7530794
chrom_2922cfb1,2,158513.4333,chrom_267b8379,chrom_e7530794
chrom_b50a2e04,2,160252.1071,chrom_20139926,chrom_267b8379
chrom_9d9d509a,2,162343.1995,chrom_20139926,chrom_fffccc29
chrom_5bdbd1fd,2,163489.9108,chrom_fffccc29,chrom_d9461fd1
chrom_890d9608,2,164278.9709,chrom_fffccc29,chrom_e7530794
chrom_4dbe94e4,2,167854.0674,chrom_267b8379,chrom_07900408
chrom_20139926,0,150876.401,NONE,NONE
chrom_fffccc29,0,151708.8933,NONE,NONE
chrom_b9270b91,3,157331.9543,chrom_fffccc29,chrom_890d9608
chrom_2dd2d803,3,158663.4312,chrom_20139926,chrom_2922cfb1
chrom_5a046213,3,159229.8967,chrom_20139926,chrom_7573fe94
chrom_c470150d,3,163067.5735,chrom_7573fe94,chrom_9d9d509a
chrom_68ef5832,3,167270.9973,chrom_9d9d509a,chrom_5bdbd1fd
chrom_5cc881dd,3,169496.9432,chrom_04c45935,chrom_9d9d509a
chrom_425357eb,3,175657.337,chrom_2922cfb1,chrom_9d9d509a
chrom_06e7831d,3,180340.3194,chrom_04c45935,chrom_9d9d509a
chrom_20139926,0,150876.401,NONE,NONE
chrom_fffccc29,0,151708.8933,NONE,NONE
chrom_15ff0e10,4,155556.9093,chrom_fffccc29,chrom_2dd2d803
chrom_25d9c396,4,158055.5436,chrom_2dd2d803,chrom_5a046213
chrom_c7f29427,4,158895.6882,chrom_fffccc29,chrom_2dd2d803
chrom_54b96e99,4,160401.914,chrom_2dd2d803,chrom_5a046213
chrom_7c8b8f71,4,160681.2738,chrom_20139926,chrom_68ef5832
chrom_72b53536,4,166515.3817,chrom_fffccc29,chrom_5a046213
chrom_68635bf6,4,166875.5084,chrom_5a046213,chrom_68ef5832
chrom_29f7ce8b,4,169203.2322,chrom_2dd2d803,chrom_5a046213
chrom_20139926,0,150876.401,NONE,NONE
chrom_fffccc29,0,151708.8933,NONE,NONE
chrom_8743ad44,5,156080.3892,chrom_c7f29427,chrom_54b96e99
chrom_5de67883,5,156238.8378,chrom_25d9c396,chrom_c7f29427
chrom_8f7bd323,5,161335.0805,chrom_20139926,chrom_25d9c396
chrom_ab9672cb,5,162935.2544,chrom_54b96e99,chrom_7c8b8f71
chrom_e032568a,5,163768.0297,chrom_15ff0e10,chrom_25d9c396
chrom_3ff18e9e,5,164319.225,chrom_20139926,chrom_fffccc29
chrom_ee9ee3da,5,165303.2599,chrom_fffccc29,chrom_15ff0e10
chrom_da4d152a,5,173986.6601,chrom_25d9c396,chrom_c7f29427
chrom_20139926,0,150876.401,NONE,NONE
chrom_fffccc29,0,151708.8933,NONE,NONE
chrom_0846e8d3,6,159591.215,chrom_fffccc29,chrom_5de67883
