UID,Generation,Cost,Parent_A,Parent_B
chrom_0d6f07ee,0,159790.5608,NONE,NONE
chrom_53272aa2,0,159904.0822,NONE,NONE
chrom_1a00d666,0,159909.1675,NONE,NONE
chrom_2d2cf72d,0,163151.0562,NONE,NONE
chrom_2800a723,0,164950.1336,NONE,NONE
chrom_3e28c6da,0,168208.0381,NONE,NONE
chrom_df8b1a94,0,169479.4674,NONE,NONE
chrom_f37ce139,0,174593.7774,NONE,NONE
chrom_8e94ae4d,0,175079.7271,NONE,NONE
chrom_b99ff8d7,0,182322.7288,NONE,NONE
chrom_e7617e8c,1,151890.7474,chrom_0d6f07ee,chrom_53272aa2
chrom_0d6f07ee,0,159790.5608,NONE,NONE
chrom_53272aa2,0,159904.0822,NONE,NONE
chrom_a741128f,1,160024.627,chrom_2d2cf72d,chrom_f37ce139
chrom_409dd817,1,160217.8151,chrom_0d6f07ee,chrom_2800a723
chrom_329ccb87,1,160296.7188,chrom_1a00d666,chrom_2800a723
chrom_14dca3bf,1,163376.3023,chrom_0d6f07ee,chrom_53272aa2
chrom_c12566cb,1,165590.173,chrom_53272aa2,chrom_3e28c6da
chrom_508b5b02,1,166547.3332,chrom_53272aa2,chrom_2800a723
chrom_d4858668,1,170295.5281,chrom_0d6f07ee,chrom_2d2cf72d
chrom_7520ce10,2,148756.5287,chrom_e7617e8c,chrom_53272aa2
chrom_e7617e8c,1,151890.7474,chrom_0d6f07ee,chrom_53272aa2
chrom_6c0c2001,2,155166.827,chrom_a741128f,chrom_409dd817
chrom_425f71bc,2,156619.7277,chrom_e7617e8c,chrom_329ccb87
chrom_992d5cca,2,158585.2131,chrom_409dd817,chrom_329ccb87
chrom_0d6f07ee,0,159790.5608,NONE,NONE
chrom_415ce07a,2,162585.8268,chrom_0d6f07ee,chrom_a741128f
chrom_53699650,2,167300.8997,chrom_0d6f07ee,chrom_329ccb87
chrom_28a2e4bb,2,168696.8452,chrom_53272aa2,chrom_c12566cb
chrom_a392d400,2,169541.9589,chrom_329ccb87,chrom_14dca3bf
chrom_cdb5aee6,3,145761.4537,chrom_6c0c2001,chrom_0d6f07ee
chrom_7520ce10,2,148756.5287,chrom_e7617e8c,chrom_53272aa2
chrom_e7617e8c,1,151890.7474,chrom_0d6f07ee,chrom_53272aa2
chrom_7ce2379f,3,155765.8147,chrom_e7617e8c,chrom_0d6f07ee
chrom_4caaa9ea,3,159220.056,chrom_e7617e8c,chrom_6c0c2001
chrom_a474e90a,3,159610.1813,chrom_6c0c2001,chrom_992d5cca
chrom_17e7fab9,3,160183.7031,chrom_6c0c2001,chrom_0d6f07ee
chrom_2d6af70f,3,162860.2618,chrom_425f71bc,chrom_53699650
chrom_aac2bf10,3,164286.7717,chrom_415ce07a,chrom_53699650
chrom_3ccd5cdc,3,174463.0032,chrom_7520ce10,chrom_e7617e8c
chrom_cdb5aee6,3,145761.4537,chrom_6c0c2001,chrom_0d6f07ee
chrom_7520ce10,2,148756.5287,chrom_e7617e8c,chrom_53272aa2
chrom_8480698d,4,157859.4959,chrom_2d6af70f,chrom_aac2bf10
chrom_057c413e,4,158713.3907,chrom_17e7fab9,chrom_2d6af70f
chrom_6a54619b,4,161084.9163,chrom_e7617e8c,chrom_a474e90a
chrom_762fa259,4,161240.5073,chrom_7520ce10,chrom_a474e90a
chrom_4894fcce,4,163880.6595,chrom_cdb5aee6,chrom_a474e90a
chrom_48dd24d0,4,165538.3666,chrom_e7617e8c,chrom_a474e90a
chrom_0a636417,4,166251.9901,chrom_e7617e8c,chrom_7ce2379f
chrom_4ee06314,4,168789.6212,chrom_7520ce10,chrom_2d6af70f
chrom_cdb5aee6,3,145761.4537,chrom_6c0c2001,chrom_0d6f07ee
chrom_7520ce10,2,148756.5287,chrom_e7617e8c,chrom_53272aa2
chrom_468f0de3,5,151879.8018,chrom_cdb5aee6,chrom_057c413e
chrom_1a9e49f2,5,159155.1626,chrom_8480698d,chrom_057c413e
chrom_28361bd0,5,160131.5419,chrom_cdb5aee6,chrom_8480698d
chrom_b32e8289,5,161415.0603,chrom_cdb5aee6,chrom_762fa259
chrom_f17b819d,5,162114.2723,chrom_7520ce10,chrom_8480698d
chrom_b2d6b067,5,162596.4424,chrom_057c413e,chrom_6a54619b
chrom_5d4b15a0,5,163559.4647,chrom_8480698d,chrom_48dd24d0
chrom_fec810bd,5,166366.845,chrom_cdb5aee6,chrom_4894fcce
chrom_cdb5aee6,3,145761.4537,chrom_6c0c2001,chrom_0d6f07ee
chrom_7520ce10,2,148756.5287,chrom_e7617e8c,chrom_53272aa2
chrom_2444fb22,6,151132.4764,chrom_28361bd0,chrom_b32e8289
chrom_884dcbde,6,154445.4046,chrom_cdb5aee6,chrom_1a9e49f2
chrom_779dbc51,6,158860.513,chrom_7520ce10,chrom_1a9e49f2
