route_count,total_fleet,sample_size,trial,route_index,route_id,allocation,demand_hits,exact_share,od_without_route_hits,trial_elapsed_sec
4,40,50,0,0,R000,11,6099.0,10.55693111,2,4.318182
4,40,50,0,1,R001,7,2776.0,7.12226456,2,4.318182
4,40,50,0,2,R002,12,7999.0,12.08999772,2,4.318182
4,40,50,0,3,R003,10,5728.0,10.23080661,2,4.318182
4,40,50,1,0,R000,11,7115.0,11.22409876,4,5.037007
4,40,50,1,1,R001,10,5055.0,9.46072910,4,5.037007
4,40,50,1,2,R002,11,6668.0,10.86580290,4,5.037007
4,40,50,1,3,R003,8,4032.0,8.44936923,4,5.037007
4,40,50,2,0,R000,7,2486.0,6.97125874,3,3.866248
4,40,50,2,1,R001,9,4472.0,9.34999841,3,3.866248
4,40,50,2,2,R002,12,7543.0,12.14318730,3,3.866248
4,40,50,2,3,R003,12,6807.0,11.53555555,3,3.866248
4,40,50,3,0,R000,10,7019.0,10.04281098,2,5.204422
4,40,50,3,1,R001,10,6358.0,9.55823996,2,5.204422
4,40,50,3,2,R002,11,8215.0,10.86479288,2,5.204422
4,40,50,3,3,R003,9,6326.0,9.53415617,2,5.204422
4,40,50,4,0,R000,10,6620.0,10.17569644,6,4.185176
4,40,50,4,1,R001,9,4818.0,8.68097581,6,4.185176
4,40,50,4,2,R002,11,7865.0,11.09135259,6,4.185176
4,40,50,4,3,R003,10,6460.0,10.05197517,6,4.185176
4,40,50,5,0,R000,9,3925.0,9.22010165,3,3.894432
4,40,50,5,1,R001,8,2855.0,7.86355511,3,3.894432
4,40,50,5,2,R002,12,7116.0,12.41463193,3,3.894432
4,40,50,5,3,R003,11,5092.0,10.50171132,3,3.894432
4,40,50,6,0,R000,10,7777.0,10.18973290,3,4.301119
4,40,50,6,1,R001,9,5829.0,8.82173034,3,4.301119
4,40,50,6,2,R002,12,10222.0,11.68220139,3,4.301119
4,40,50,6,3,R003,9,6487.0,9.30633538,3,4.301119
4,40,100,0,0,R000,10,13629.0,10.37417564,5,8.946844
4,40,100,0,1,R001,9,10175.0,8.96373090,5,8.946844
4,40,100,0,2,R002,9,9418.0,8.62384504,5,8.946844
4,40,100,0,3,R003,12,18352.0,12.03824842,5,8.946844
4,40,100,1,0,R000,10,13396.0,9.76065376,4,9.362099
4,40,100,1,1,R001,8,9790.0,8.34416117,4,9.362099
4,40,100,1,2,R002,10,13598.0,9.83396949,4,9.362099
4,40,100,1,3,R003,12,20455.0,12.06121558,4,9.362099
4,40,100,2,0,R000,11,16154.0,11.41240947,5,8.868270
4,40,100,2,1,R001,8,7800.0,7.93020853,5,8.868270
4,40,100,2,2,R002,10,12639.0,10.09470573,5,8.868270
4,40,100,2,3,R003,11,13838.0,10.56267627,5,8.868270
4,40,100,3,0,R000,11,15302.0,10.94575932,7,9.045557
4,40,100,3,1,R001,6,5157.0,6.35433872,7,9.045557
4,40,100,3,2,R002,11,16194.0,11.26027153,7,9.045557
4,40,100,3,3,R003,12,16714.0,11.43963044,7,9.045557
4,40,100,4,0,R000,11,13779.0,10.74614173,6,10.697998
