route_count,total_fleet,sample_size,route_index,route_id,allocation_mean,allocation_std,allocation_cv,demand_mean,demand_std,demand_cv
4,40,50,0,R000,9.71428571,1.38013112,0.14207232,5863.00000000,1930.28296717,0.32923128
4,40,50,1,R001,8.85714286,1.06904497,0.12069863,4594.71428571,1368.92557800,0.29793486
4,40,50,2,R002,11.57142857,0.53452248,0.04619330,7946.85714286,1136.25810281,0.14298207
4,40,50,3,R003,9.85714286,1.34518542,0.13646809,5847.42857143,984.44736733,0.16835560
4,40,100,0,R000,10.57142857,0.53452248,0.05056294,14073.85714286,1297.82965351,0.09221563
4,40,100,1,R001,7.85714286,1.06904497,0.13606027,8122.00000000,1990.96299982,0.24513211
4,40,100,2,R002,10.14285714,0.69006556,0.06803463,12598.42857143,2485.19837284,0.19726257
4,40,100,3,R003,11.42857143,0.78679579,0.06884463,16273.57142857,2740.03362857,0.16837322
4,40,150,0,R000,11.00000000,0.57735027,0.05248639,22196.42857143,1960.78528972,0.08833787
4,40,150,1,R001,7.85714286,0.69006556,0.08782653,11628.42857143,1669.87004057,0.14360238
4,40,150,2,R002,10.14285714,0.69006556,0.06803463,18205.00000000,1616.45785593,0.08879197
4,40,150,3,R003,11.00000000,0.00000000,0.00000000,22166.14285714,1989.77841552,0.08976656
4,40,200,0,R000,11.00000000,0.00000000,0.00000000,30073.85714286,2278.01385923,0.07574731
4,40,200,1,R001,8.00000000,0.81649658,0.10206207,15418.71428571,2963.80620792,0.19222136
4,40,200,2,R002,10.28571429,0.95118973,0.09247678,26073.85714286,3321.30212560,0.12738054
4,40,200,3,R003,10.71428571,0.75592895,0.07055337,27981.85714286,3785.26280147,0.13527561
4,40,250,0,R000,10.71428571,0.75592895,0.07055337,35783.42857143,3669.60932785,0.10255052
4,40,250,1,R001,7.85714286,0.69006556,0.08782653,19476.14285714,3353.55728685,0.17218796
4,40,250,2,R002,10.28571429,0.48795004,0.04743959,32540.14285714,1760.75205794,0.05411015
4,40,250,3,R003,11.14285714,0.37796447,0.03391989,39190.00000000,5699.03594186,0.14542067
4,40,300,0,R000,10.28571429,0.48795004,0.04743959,39662.85714286,2763.39359174,0.06967208
