route_count,total_fleet,sample_size,route_index,route_id,allocation_mean,allocation_std,allocation_cv,demand_mean,demand_std,demand_cv
38,2000,500,0,R00_Tubod_Tibanga,9.00000000,2.76887462,0.30765274,90.71428571,56.75007867,0.62559142
38,2000,500,1,R01_Tubod_Tominobo,26.28571429,7.76132046,0.29526763,730.14285714,326.60599534,0.44731794
38,2000,500,2,R02_Palao_Kiwalan,67.28571429,6.94536502,0.10322199,4534.71428571,980.64157813,0.21625212
38,2000,500,3,R03_Buruun_Palao,125.00000000,7.91622806,0.06332982,15492.42857143,1687.20378705,0.10890506
38,2000,500,4,R04_Tambacan_Tibanga,1.85714286,1.57359158,0.84731855,4.42857143,8.71506632,1.96791820
38,2000,500,5,R05_Tubod_Tipanoy,29.28571429,3.86066858,0.13182771,873.85714286,238.93543659,0.27342620
38,2000,500,6,R06_MariaCristina_Tubod,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
38,2000,500,7,R07_Palao_Luinab,32.14285714,5.58057857,0.17361800,1049.57142857,336.14226013,0.32026621
38,2000,500,8,R08_Dalipuga_Palao,144.85714286,5.04739442,0.03484395,20817.57142857,1870.43086455,0.08984866
38,2000,500,9,R09_Buruun_Tubod,22.28571429,7.31925055,0.32842791,539.85714286,302.71737566,0.56073608
38,2000,500,10,R10_Tominobo_Tibanga,9.71428571,5.21901286,0.53725132,115.42857143,100.90566080,0.87418270
38,2000,500,11,R11_Tipanoy_Palao,134.42857143,4.39155033,0.03266828,17952.42857143,836.93644863,0.04661968
38,2000,500,12,R12_Luinab_Tibanga,19.28571429,3.94606495,0.20461078,378.28571429,155.44314533,0.41091466
38,2000,500,13,R13_Bonbonon_Kiwalan,108.85714286,4.56174570,0.04190580,11761.57142857,780.93039748,0.06639677
38,2000,500,14,R14_Ditucalan_Tubod,69.57142857,3.40867241,0.04899529,4814.42857143,496.01339268,0.10302643
38,2000,500,15,R15_VillaVerde_Palao,11.28571429,1.60356745,0.14208826,127.57142857,40.77522591,0.31962663
38,2000,500,16,R16_UpperTominobo_Tubod,27.57142857,9.27105069,0.33625572,830.57142857,495.57739293,0.59667041
38,2000,500,17,R17_BagongSilang_Palao,3.00000000,2.51661148,0.83887049,12.85714286,16.15991513,1.25688229
38,2000,500,18,R18_SanMiguel_Tibanga,5.71428571,4.53557368,0.79372539,49.14285714,49.12035753,0.99954216
38,2000,500,19,R19_DelCarmen_Luinab,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
38,2000,500,20,R20_Pugaan_Tibanga,76.00000000,4.24264069,0.05582422,5721.28571429,566.55206124,0.09902530
38,2000,500,21,R21_Abuno_Tubod,32.14285714,5.08030745,0.15805401,1047.42857143,303.45722221,0.28971639
38,2000,500,22,R22_SantaFilomena_Tibanga,4.85714286,4.84522347,0.99754601,41.57142857,52.39865502,1.26044875
38,2000,500,23,R23_Acmac_Kiwalan,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
38,2000,500,24,R24_Kabacsanan_Kiwalan,218.85714286,8.49369514,0.03880931,47573.57142857,4569.36450203,0.09604838
38,2000,500,25,R25_Bunawan_Dalipuga,179.14285714,7.94624799,0.04435705,31891.71428571,3401.98465185,0.10667299
38,2000,500,26,R26_Dalipuga_Tibanga,26.00000000,3.51188458,0.13507248,686.57142857,184.45130987,0.26865567
38,2000,500,27,R27_Bonbonon_Palao,201.00000000,6.97614985,0.03470721,40069.00000000,3297.04226037,0.08228412
38,2000,500,28,R28_MariaCristina_Tipanoy,40.14285714,9.19109300,0.22895961,1649.42857143,691.89446622,0.41947525
38,2000,500,29,R29_Buruun_Tominobo,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
38,2000,500,30,R30_Tambacan_Luinab,22.28571429,2.69037084,0.12072177,494.85714286,109.72302793,0.22172667
38,2000,500,31,R31_Center_Kiwalan,31.00000000,5.35412613,0.17271375,960.42857143,306.19484926,0.31881064
38,2000,500,32,R32_Suarez_Tibanga,20.42857143,6.70465368,0.32819983,452.57142857,323.45677565,0.71470878
38,2000,500,33,R33_Ditucalan_Palao,77.28571429,8.11817479,0.10504108,5953.42857143,1289.96561416,0.21667609
38,2000,500,34,R34_UpperTominobo_Palao,71.85714286,5.33630869,0.07426275,5172.42857143,804.39353079,0.15551564
38,2000,500,35,R35_Buruun_Tipanoy,25.57142857,8.26351707,0.32315430,702.42857143,406.34175154,0.57848124
38,2000,500,36,R36_Tubod_Kiwalan,121.00000000,7.65941686,0.06330097,14567.14285714,1705.91309163,0.11710691
38,2000,500,37,R37_Palao_SantaFilomena,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
38,2000,1000,0,R00_Tubod_Tibanga,10.85714286,2.11570094,0.19486719,247.14285714,95.50990973,0.38645628
