UID,Generation,Cost,Parent_A,Parent_B
chrom_c3ecb43a,0,725628.5626,NONE,NONE
chrom_bb7ca55e,0,729398.5295,NONE,NONE
chrom_2c1d5511,0,739647.7635,NONE,NONE
chrom_89effd4a,0,785591.652,NONE,NONE
chrom_fa5c4864,1,719665.6673,chrom_c3ecb43a,chrom_bb7ca55e
chrom_7b5ac144,1,720610.4675,chrom_c3ecb43a,chrom_bb7ca55e
chrom_c3ecb43a,0,725628.5626,NONE,NONE
chrom_bb7ca55e,0,729398.5295,NONE,NONE
chrom_fa5c4864,1,719665.6673,chrom_c3ecb43a,chrom_bb7ca55e
chrom_f2ce47e0,2,719998.8936,chrom_7b5ac144,chrom_c3ecb43a
chrom_7b5ac144,1,720610.4675,chrom_c3ecb43a,chrom_bb7ca55e
chrom_8ee11868,2,741223.3862,chrom_fa5c4864,chrom_7b5ac144
