Generation,Global_Best_Cost,Population_Mean_Cost,Active_Mutation_Rate,Stagnation_Counter
2,663842.2747,710438.977,0.775,1
3,661183.4116,691261.4857,0.756,0
4,652665.7052,678992.291,0.725,0
5,632986.1273,673029.3625,0.7,0
6,623023.337,656215.9204,0.675,0
7,623023.337,662356.0876,0.65,1
8,623023.337,665504.1316,0.631,2
9,623023.337,663913.379,0.624,3
10,623023.337,663899.1734,0.629,4
11,614660.0532,659894.8643,0.646,0
12,614660.0532,662629.65,0.525,1
13,614660.0532,662207.7988,0.506,2
14,614660.0532,660106.5599,0.499,3
15,614660.0532,662091.5791,0.504,4
16,614660.0532,658130.9145,0.521,5
17,614660.0532,664711.821,0.55,6
18,614660.0532,659591.3535,0.591,7
19,614660.0532,663045.3413,0.644,8
20,614660.0532,658551.957,0.709,9
21,614660.0532,658791.8449,0.786,10
