Generation,Global_Best_Cost,Population_Mean_Cost,Active_Mutation_Rate,Stagnation_Counter
2,272660.3473,366004.5773,0.75,0
3,272660.3473,399253.0776,0.7,1
4,264340.8881,346260.8506,0.6506,0
5,264340.8881,339609.6699,0.6,1
6,264340.8881,362140.9909,0.5506,2
7,264340.8881,329600.0696,0.5024,3
8,264340.8881,350101.6018,0.4555,4
9,203346.5852,303579.7731,0.4098,0
10,203346.5852,311498.7871,0.35,1
11,168342.1706,306973.766,0.3006,0
12,168342.1706,324411.0531,0.25,1
13,168342.1706,316645.9476,0.2006,2
14,168342.1706,314695.9603,0.1524,3
15,168342.1706,359470.5888,0.1055,4
16,168342.1706,268744.6604,0.0598,5
