UID,Generation,Cost,Parent_A,Parent_B
chrom_2ee143e4,0,282910.2853,NONE,NONE
chrom_90d4805c,0,387747.0807,NONE,NONE
chrom_fe46c521,0,401304.7981,NONE,NONE
chrom_dc6639fa,0,434004.2728,NONE,NONE
chrom_b514d10f,0,458932.2362,NONE,NONE
chrom_6aab9fe8,0,477163.6131,NONE,NONE
chrom_eaa1dbb4,0,491477.9891,NONE,NONE
chrom_88b4f9fc,0,512200.3971,NONE,NONE
chrom_09d67679,1,272660.3473,chrom_6aab9fe8,chrom_eaa1dbb4
chrom_69cbdd67,1,279909.6985,chrom_dc6639fa,chrom_b514d10f
chrom_2ee143e4,0,282910.2853,NONE,NONE
chrom_f9fdc2ee,1,369195.6188,chrom_2ee143e4,chrom_dc6639fa
chrom_6be37f82,1,392063.0573,chrom_90d4805c,chrom_b514d10f
chrom_eb03c9ca,1,413156.1143,chrom_dc6639fa,chrom_b514d10f
chrom_969339e1,1,415673.5901,chrom_2ee143e4,chrom_eaa1dbb4
chrom_45a387c4,1,502467.9067,chrom_dc6639fa,chrom_b514d10f
chrom_09d67679,1,272660.3473,chrom_6aab9fe8,chrom_eaa1dbb4
chrom_62148472,2,309463.8722,chrom_09d67679,chrom_6be37f82
chrom_27c203b0,2,353612.7517,chrom_09d67679,chrom_f9fdc2ee
chrom_86e251c7,2,383252.3191,chrom_09d67679,chrom_f9fdc2ee
chrom_55ba829e,2,391580.7359,chrom_09d67679,chrom_f9fdc2ee
chrom_356c0880,2,414457.8482,chrom_2ee143e4,chrom_6be37f82
chrom_4bf0a855,2,466869.6751,chrom_2ee143e4,chrom_969339e1
chrom_8f0d961c,2,602127.071,chrom_6be37f82,chrom_eb03c9ca
chrom_d3527e7a,3,264340.8881,chrom_09d67679,chrom_27c203b0
chrom_09d67679,1,272660.3473,chrom_6aab9fe8,chrom_eaa1dbb4
chrom_e0a281d4,3,320063.7122,chrom_09d67679,chrom_356c0880
chrom_4e3970c2,3,333052.6379,chrom_55ba829e,chrom_4bf0a855
chrom_5776345c,3,340550.2942,chrom_86e251c7,chrom_55ba829e
chrom_1ee7d58a,3,376585.4692,chrom_09d67679,chrom_27c203b0
chrom_df005d64,3,394927.4748,chrom_09d67679,chrom_27c203b0
chrom_91889b26,3,467905.9814,chrom_62148472,chrom_86e251c7
chrom_d3527e7a,3,264340.8881,chrom_09d67679,chrom_27c203b0
chrom_c72340d0,4,285035.406,chrom_5776345c,chrom_df005d64
chrom_646d5ddc,4,302735.3258,chrom_e0a281d4,chrom_5776345c
chrom_7e8d1242,4,344548.8452,chrom_d3527e7a,chrom_e0a281d4
chrom_f1891225,4,371690.7575,chrom_d3527e7a,chrom_09d67679
chrom_95e8c7ba,4,372798.916,chrom_d3527e7a,chrom_4e3970c2
chrom_a655c62d,4,383795.1955,chrom_09d67679,chrom_e0a281d4
chrom_f634363d,4,391932.0247,chrom_09d67679,chrom_5776345c
chrom_d3527e7a,3,264340.8881,chrom_09d67679,chrom_27c203b0
chrom_69d9fd44,5,330466.2546,chrom_d3527e7a,chrom_646d5ddc
chrom_b3e82b8c,5,331868.1809,chrom_d3527e7a,chrom_7e8d1242
chrom_1aff26d2,5,364451.3151,chrom_d3527e7a,chrom_95e8c7ba
chrom_6d13df54,5,386950.1778,chrom_d3527e7a,chrom_c72340d0
chrom_dadd6cc3,5,397559.3857,chrom_d3527e7a,chrom_7e8d1242
chrom_26d38738,5,410205.1549,chrom_d3527e7a,chrom_c72340d0
chrom_7122f762,5,411286.57,chrom_f1891225,chrom_95e8c7ba
chrom_d3527e7a,3,264340.8881,chrom_09d67679,chrom_27c203b0
chrom_5bfef1e0,6,290217.5787,chrom_1aff26d2,chrom_dadd6cc3
chrom_0b45b924,6,308019.0466,chrom_69d9fd44,chrom_b3e82b8c
chrom_6aa698f9,6,311313.5203,chrom_69d9fd44,chrom_b3e82b8c
chrom_5527287d,6,345937.579,chrom_d3527e7a,chrom_69d9fd44
chrom_fb858933,6,360395.7691,chrom_1aff26d2,chrom_dadd6cc3
chrom_6597e6ce,6,366608.8528,chrom_d3527e7a,chrom_b3e82b8c
chrom_d3e922cb,6,389967.3221,chrom_b3e82b8c,chrom_6d13df54
chrom_d3527e7a,3,264340.8881,chrom_09d67679,chrom_27c203b0
chrom_dfe0f079,7,289270.0286,chrom_d3527e7a,chrom_5bfef1e0
chrom_ad6a1ae0,7,313763.5977,chrom_d3527e7a,chrom_5527287d
chrom_ae556404,7,347989.0818,chrom_5527287d,chrom_6597e6ce
chrom_06a5c4a6,7,372230.6376,chrom_5bfef1e0,chrom_0b45b924
chrom_c5561741,7,390219.9214,chrom_5bfef1e0,chrom_6aa698f9
chrom_1ea4a868,7,400487.39,chrom_5bfef1e0,chrom_0b45b924
chrom_507382e5,7,422511.2691,chrom_d3527e7a,chrom_0b45b924
chrom_3e9fd7e2,8,203346.5852,chrom_ad6a1ae0,chrom_ae556404
chrom_66306467,8,258060.6533,chrom_d3527e7a,chrom_ae556404
chrom_d3527e7a,3,264340.8881,chrom_09d67679,chrom_27c203b0
chrom_cef19b73,8,308780.3041,chrom_d3527e7a,chrom_06a5c4a6
chrom_c2954542,8,318424.0693,chrom_dfe0f079,chrom_06a5c4a6
chrom_793df2ca,8,327714.4973,chrom_d3527e7a,chrom_dfe0f079
chrom_74a13e6c,8,370882.492,chrom_ad6a1ae0,chrom_06a5c4a6
chrom_c2ee19ac,8,377088.6956,chrom_d3527e7a,chrom_ae556404
chrom_3e9fd7e2,8,203346.5852,chrom_ad6a1ae0,chrom_ae556404
chrom_1d3d2360,9,227424.7223,chrom_cef19b73,chrom_c2954542
chrom_fff5aea9,9,289993.6291,chrom_3e9fd7e2,chrom_66306467
chrom_b2e7eae0,9,295390.3637,chrom_d3527e7a,chrom_cef19b73
chrom_b2857ae6,9,324298.5584,chrom_66306467,chrom_793df2ca
chrom_324e49dc,9,352365.0363,chrom_66306467,chrom_cef19b73
chrom_19fb293d,9,385331.3106,chrom_66306467,chrom_74a13e6c
chrom_4b6855e9,9,413840.0914,chrom_3e9fd7e2,chrom_66306467
chrom_5b98da6e,10,168342.1706,chrom_1d3d2360,chrom_19fb293d
chrom_3e9fd7e2,8,203346.5852,chrom_ad6a1ae0,chrom_ae556404
chrom_931e0b44,10,296086.2476,chrom_3e9fd7e2,chrom_b2857ae6
chrom_ebf97351,10,304202.747,chrom_1d3d2360,chrom_19fb293d
chrom_d308ac8a,10,311781.4491,chrom_b2e7eae0,chrom_b2857ae6
chrom_29c2a7ef,10,363716.2288,chrom_3e9fd7e2,chrom_1d3d2360
chrom_376173e9,10,389993.639,chrom_3e9fd7e2,chrom_1d3d2360
chrom_ba99d907,10,418321.0609,chrom_1d3d2360,chrom_b2857ae6
chrom_5b98da6e,10,168342.1706,chrom_1d3d2360,chrom_19fb293d
chrom_29a6b4b3,11,271442.6176,chrom_3e9fd7e2,chrom_d308ac8a
chrom_08d59e37,11,301108.5889,chrom_3e9fd7e2,chrom_931e0b44
chrom_dd97a2f9,11,309835.1832,chrom_5b98da6e,chrom_3e9fd7e2
chrom_3c761646,11,310631.3273,chrom_931e0b44,chrom_29c2a7ef
chrom_eee4f54f,11,370085.3097,chrom_5b98da6e,chrom_29c2a7ef
chrom_4a2d1bd3,11,408578.4516,chrom_3e9fd7e2,chrom_931e0b44
chrom_4cd928af,11,455264.7759,chrom_5b98da6e,chrom_d308ac8a
chrom_5b98da6e,10,168342.1706,chrom_1d3d2360,chrom_19fb293d
chrom_e459666d,12,252977.8673,chrom_5b98da6e,chrom_3c761646
chrom_abd8977a,12,298983.9208,chrom_5b98da6e,chrom_dd97a2f9
chrom_d04d59e5,12,305440.5171,chrom_29a6b4b3,chrom_dd97a2f9
chrom_b8fcade3,12,317094.5456,chrom_5b98da6e,chrom_dd97a2f9
chrom_606825f1,12,366399.761,chrom_3c761646,chrom_eee4f54f
chrom_a8459fad,12,390771.0004,chrom_5b98da6e,chrom_29a6b4b3
chrom_27bc58bc,12,433157.7982,chrom_5b98da6e,chrom_08d59e37
chrom_5b98da6e,10,168342.1706,chrom_1d3d2360,chrom_19fb293d
chrom_68dfbed9,13,244195.0504,chrom_5b98da6e,chrom_606825f1
chrom_681857cb,13,267901.4252,chrom_abd8977a,chrom_606825f1
chrom_37163f33,13,341534.0607,chrom_5b98da6e,chrom_e459666d
chrom_3d829a42,13,342727.1572,chrom_5b98da6e,chrom_abd8977a
chrom_99388763,13,348880.9365,chrom_abd8977a,chrom_b8fcade3
chrom_4a91675f,13,398366.3257,chrom_5b98da6e,chrom_d04d59e5
chrom_f2a83008,13,405620.5559,chrom_5b98da6e,chrom_606825f1
chrom_5b98da6e,10,168342.1706,chrom_1d3d2360,chrom_19fb293d
chrom_a892ef21,14,290927.9817,chrom_681857cb,chrom_99388763
chrom_48a6789e,14,309514.7647,chrom_37163f33,chrom_99388763
chrom_7e1a46a1,14,325498.536,chrom_5b98da6e,chrom_37163f33
chrom_0b7acfd1,14,364381.6762,chrom_681857cb,chrom_37163f33
chrom_d562daa4,14,388253.2999,chrom_68dfbed9,chrom_37163f33
chrom_bba26d79,14,512330.7228,chrom_5b98da6e,chrom_68dfbed9
chrom_f4a4e692,14,516515.5581,chrom_681857cb,chrom_37163f33
