Generation,Global_Best_Cost,Population_Mean_Cost,Active_Mutation_Rate,Stagnation_Counter
2,151890.7474,161793.3888,0.75,0
3,148756.5287,159893.5135,0.7,0
4,145761.4537,158279.8522,0.65,0
5,145761.4537,159787.693,0.6,1
6,145761.4537,158173.6574,0.556,2
7,145761.4537,157698.2201,0.524,3
8,145761.4537,154398.5403,0.504,4
9,145518.769,153513.6861,0.496,0
10,145518.769,155173.6576,0.35,1
11,143466.627,156550.8256,0.306,0
12,142359.1117,152885.0373,0.25,0
13,140046.8744,154165.3541,0.2,0
14,138609.02,153484.1096,0.15,0
15,138609.02,152602.6981,0.1,1
16,138609.02,153709.6128,0.056,2
