Generation,Global_Best_Cost,Population_Mean_Cost,Active_Mutation_Rate,Stagnation_Counter
2,149657.9914,158601.1646,0.75,0
3,149657.9914,159701.1842,0.7,1
4,146993.8114,156409.6436,0.656,0
5,146993.8114,156771.0083,0.6,1
6,146993.8114,153845.5363,0.556,2
7,146993.8114,155294.3069,0.524,3
8,146993.8114,154007.4044,0.504,4
9,143162.3438,150947.5037,0.496,0
10,143162.3438,151886.0712,0.35,1
11,143162.3438,154935.1251,0.306,2
12,141400.9824,149812.5707,0.274,0
13,140416.7636,152307.2545,0.2,0
14,140416.7636,151498.5487,0.15,1
15,140416.7636,153678.3506,0.106,2
16,140416.7636,152796.1917,0.074,3
