UID,Generation,Cost,Parent_A,Parent_B
chrom_db0e9485,0,154163.524,NONE,NONE
chrom_a03b9f44,0,155368.7734,NONE,NONE
chrom_a3f34d4e,0,161583.4339,NONE,NONE
chrom_0e62bdb1,0,165166.2148,NONE,NONE
chrom_1183a02e,0,166196.3041,NONE,NONE
chrom_f7758503,0,166350.2591,NONE,NONE
chrom_6d196b58,0,166904.0228,NONE,NONE
chrom_efb12160,0,172098.4691,NONE,NONE
chrom_c79c089d,0,173948.9258,NONE,NONE
chrom_d763c4a7,0,177375.3048,NONE,NONE
chrom_379003e8,1,149657.9914,chrom_a03b9f44,chrom_0e62bdb1
chrom_b23a82ff,1,151359.8874,chrom_a3f34d4e,chrom_f7758503
chrom_9bfdcab1,1,152757.6132,chrom_f7758503,chrom_c79c089d
chrom_db0e9485,0,154163.524,NONE,NONE
chrom_a03b9f44,0,155368.7734,NONE,NONE
chrom_8ae9c261,1,158146.6334,chrom_db0e9485,chrom_a3f34d4e
chrom_9cd6a053,1,164590.0162,chrom_6d196b58,chrom_efb12160
chrom_2f74e934,1,164591.7428,chrom_a3f34d4e,chrom_1183a02e
chrom_f3ba1b65,1,166781.9697,chrom_a03b9f44,chrom_1183a02e
chrom_d24d1922,1,168593.4946,chrom_f7758503,chrom_6d196b58
chrom_379003e8,1,149657.9914,chrom_a03b9f44,chrom_0e62bdb1
chrom_b23a82ff,1,151359.8874,chrom_a3f34d4e,chrom_f7758503
chrom_73391fca,2,152676.4924,chrom_b23a82ff,chrom_a03b9f44
chrom_711929d3,2,156330.6661,chrom_8ae9c261,chrom_9cd6a053
chrom_35ae4a5e,2,156696.1643,chrom_db0e9485,chrom_a03b9f44
chrom_bc1f5901,2,157918.3275,chrom_8ae9c261,chrom_9cd6a053
chrom_b0eae5d6,2,159708.9011,chrom_9bfdcab1,chrom_a03b9f44
chrom_37520d28,2,168320.5731,chrom_9bfdcab1,chrom_db0e9485
chrom_55b28277,2,170762.1476,chrom_db0e9485,chrom_8ae9c261
chrom_75c5b829,2,173580.6915,chrom_a03b9f44,chrom_9cd6a053
chrom_56cd911c,3,146993.8114,chrom_711929d3,chrom_35ae4a5e
chrom_379003e8,1,149657.9914,chrom_a03b9f44,chrom_0e62bdb1
chrom_b23a82ff,1,151359.8874,chrom_a3f34d4e,chrom_f7758503
chrom_5c572d7d,3,152587.7319,chrom_711929d3,chrom_35ae4a5e
chrom_85b46a30,3,157688.0852,chrom_b23a82ff,chrom_bc1f5901
chrom_b654e07d,3,159455.2426,chrom_379003e8,chrom_35ae4a5e
chrom_d741cd21,3,159602.1121,chrom_b23a82ff,chrom_35ae4a5e
chrom_b04df44a,3,159799.0609,chrom_73391fca,chrom_711929d3
chrom_eff56a70,3,160933.0156,chrom_35ae4a5e,chrom_bc1f5901
chrom_f805b170,3,166019.4971,chrom_b23a82ff,chrom_711929d3
chrom_56cd911c,3,146993.8114,chrom_711929d3,chrom_35ae4a5e
chrom_379003e8,1,149657.9914,chrom_a03b9f44,chrom_0e62bdb1
chrom_59d3aad1,4,152533.4181,chrom_5c572d7d,chrom_85b46a30
chrom_239a53ae,4,156270.5109,chrom_b23a82ff,chrom_5c572d7d
chrom_b096b218,4,156405.9433,chrom_5c572d7d,chrom_d741cd21
chrom_fe38d483,4,157747.1814,chrom_b654e07d,chrom_d741cd21
chrom_df403995,4,159715.2891,chrom_56cd911c,chrom_379003e8
chrom_fe6af469,4,159730.6323,chrom_379003e8,chrom_d741cd21
chrom_8764976a,4,163585.3922,chrom_b23a82ff,chrom_5c572d7d
chrom_fe01e2bc,4,165069.9126,chrom_379003e8,chrom_b23a82ff
chrom_56cd911c,3,146993.8114,chrom_711929d3,chrom_35ae4a5e
chrom_379003e8,1,149657.9914,chrom_a03b9f44,chrom_0e62bdb1
chrom_95a6dfb3,5,151034.9695,chrom_b096b218,chrom_fe38d483
chrom_e91702b2,5,151140.2895,chrom_59d3aad1,chrom_8764976a
chrom_5a2d3ea1,5,152318.9966,chrom_56cd911c,chrom_59d3aad1
chrom_a7bd24eb,5,153777.559,chrom_379003e8,chrom_fe38d483
chrom_2afe8c84,5,153983.4333,chrom_56cd911c,chrom_379003e8
chrom_d349503f,5,157121.5037,chrom_fe38d483,chrom_df403995
chrom_95b80d1c,5,160953.3932,chrom_56cd911c,chrom_379003e8
chrom_b7b41412,5,161473.4157,chrom_b096b218,chrom_fe38d483
chrom_56cd911c,3,146993.8114,chrom_711929d3,chrom_35ae4a5e
chrom_379003e8,1,149657.9914,chrom_a03b9f44,chrom_0e62bdb1
chrom_3620d41b,6,149943.3657,chrom_56cd911c,chrom_95a6dfb3
chrom_fca69a22,6,151230.8614,chrom_56cd911c,chrom_95a6dfb3
chrom_e6e10539,6,156285.1222,chrom_379003e8,chrom_d349503f
chrom_4eec07e9,6,156448.8335,chrom_56cd911c,chrom_e91702b2
chrom_3bc2c968,6,157069.7927,chrom_95a6dfb3,chrom_2afe8c84
chrom_546baf81,6,160933.1851,chrom_5a2d3ea1,chrom_2afe8c84
chrom_96228385,6,161307.0831,chrom_56cd911c,chrom_a7bd24eb
chrom_f836f713,6,163073.0221,chrom_95a6dfb3,chrom_a7bd24eb
chrom_56cd911c,3,146993.8114,chrom_711929d3,chrom_35ae4a5e
chrom_379003e8,1,149657.9914,chrom_a03b9f44,chrom_0e62bdb1
chrom_a96e8d30,7,150452.1515,chrom_56cd911c,chrom_379003e8
chrom_720c15e1,7,150693.9658,chrom_3620d41b,chrom_fca69a22
chrom_3409e822,7,151523.2249,chrom_56cd911c,chrom_3620d41b
