Best_Parent,Worst_Parent,Child_Cost,Status
199.54938955823798,718.1581771480438,495.1792378128176,Interpolation (In between)
208.12577793924896,446.2280583852989,288.8413999846744,Interpolation (In between)
208.86303236557927,612.2829234687614,454.8570996828439,Interpolation (In between)
219.17996052604568,507.604961750919,348.6818861807368,Interpolation (In between)
219.34641357339984,837.7013018181626,824.5148544751894,Interpolation (In between)
221.61333709498854,398.2122116934146,365.4553245347887,Interpolation (In between)
229.67783210442178,573.3710822666277,562.0640714848555,Interpolation (In between)
233.95579826505013,428.67565409234555,390.5310372766586,Interpolation (In between)
234.15234049142504,1804.0670833908637,874.033162231849,Interpolation (In between)
239.66060580073906,342.8369090011365,344.38735175075055,Destructive (Worse than both)
244.1460998072118,292.99329847627814,252.09190110388863,Interpolation (In between)
244.25190396784635,1804.0670833908637,879.9269116085927,Interpolation (In between)
244.70912397115515,348.4894961944285,358.6891793473965,Destructive (Worse than both)
248.538857332403,472.8861361020595,444.814286402333,Interpolation (In between)
250.26303977466165,750.5250466526907,376.6219536564611,Interpolation (In between)
251.79357922517363,1804.0670833908637,836.2783241092714,Interpolation (In between)
252.48552417649648,546.5968908009388,395.18791407403444,Interpolation (In between)
252.56582367608917,1804.0670833908637,864.3290721304705,Interpolation (In between)
253.5381829771061,417.67219122198566,377.2177297295132,Interpolation (In between)
254.60047963386552,576.0674699844801,444.4193610132245,Interpolation (In between)
255.44141428654368,1804.0670833908637,888.2168110673365,Interpolation (In between)
257.15738020795914,319.49142718099574,291.22880171152985,Interpolation (In between)
257.5714204324434,1804.0670833908637,927.9537446209216,Interpolation (In between)
257.5977982876745,334.52901418840656,358.73339987968996,Destructive (Worse than both)
258.02857047623945,534.6456666790007,431.8149238137537,Interpolation (In between)
259.06709276816986,496.2551394020534,307.15196143034336,Interpolation (In between)
259.35944436515854,1804.0670833908637,835.0455083732386,Interpolation (In between)
260.0228309601067,1804.0670833908637,886.7184234126516,Interpolation (In between)
261.14705241542185,486.4165710840164,502.98143060021556,Destructive (Worse than both)
262.095590043505,367.28432825487437,287.0166728506233,Interpolation (In between)
264.58299338386166,521.2889557446115,333.3163628122103,Interpolation (In between)
266.0199788276891,461.18562863997124,299.35933300808324,Interpolation (In between)
267.1158275338897,1804.0670833908637,821.6520019821572,Interpolation (In between)
267.2555171910402,543.6573618773546,470.1245282484516,Interpolation (In between)
268.46451772070793,1804.0670833908637,942.1068038422225,Interpolation (In between)
269.22049085756464,1804.0670833908637,914.0470450136141,Interpolation (In between)
272.44662068122346,1804.0670833908637,939.282057112121,Interpolation (In between)
272.8867739130585,1050.5617397780488,610.1036628210722,Interpolation (In between)
274.0109009999674,638.1340633512389,475.28257944973393,Interpolation (In between)
274.59854523494755,572.6554716905591,440.00025450044495,Interpolation (In between)
274.6130472479816,1804.0670833908637,917.1329862511166,Interpolation (In between)
276.1188669988195,378.58997728416523,328.6183377502665,Interpolation (In between)
277.6794325679579,484.3998824334391,412.235468439454,Interpolation (In between)
278.28977255359916,608.2488028569435,391.3680873373851,Interpolation (In between)
278.9541128404218,1804.0670833908637,947.5497769315111,Interpolation (In between)
278.97410347088055,1804.0670833908637,1034.4517744004734,Interpolation (In between)
279.27754024878425,1804.0670833908637,905.48299558137,Interpolation (In between)
279.34009016404354,511.3982204654573,471.0156782092165,Interpolation (In between)
279.38972746021193,332.4419861573883,275.4751107057126,Synergy (Better than both)
279.4977407534787,294.43110215729524,246.38237508866993,Synergy (Better than both)
281.2032051248898,561.0034301205438,289.7735313914741,Interpolation (In between)
281.42368622495826,287.79984493266005,327.3174729203308,Destructive (Worse than both)
283.7394900408859,710.535876468135,707.1130627638004,Interpolation (In between)
284.7448822834419,458.58849856629695,440.11085535096606,Interpolation (In between)
286.21755785343527,318.2223516793447,237.64893928215741,Synergy (Better than both)
286.61802735356264,558.8387875185281,476.79945065719744,Interpolation (In between)
