num_routes,density,total_rate,num_ticks,sim_min,mean_completion,cv,mean_fit
5,50,250,120,20.0,0.006700407435701554,0.16842924158801129,94804.53706525317
5,50,250,240,40.0,0.02247339350470027,0.1208248389564682,274634.13391777634
5,50,250,360,60.0,0.049267279690969015,0.08459182489272142,544649.0510315911
5,50,250,480,80.0,0.06504292308445825,0.06322880606518594,925052.3477363248
5,50,250,600,100.0,0.11626486530328807,0.09153202951964068,1323358.7720517174
5,50,250,720,120.0,0.15127712818680267,0.0722682947830629,1846161.3666332462
10,50,500,120,20.0,0.005906206002140703,0.06756968321550581,178399.4165790929
10,50,500,240,40.0,0.029504891027319114,0.04938376845011356,531705.0506372283
10,50,500,360,60.0,0.07198664525375054,0.02166365965581509,1067066.1344185115
10,50,500,480,80.0,0.10268867594469143,0.0446649563479922,1776724.5990057674
10,50,500,600,100.0,0.149756514924212,0.0500022852335197,2522439.9834836167
10,50,500,720,120.0,0.20080948251908604,0.02463956813938875,3386717.988345674
