num_routes,passenger_rate,optimal_spt,optimal_ticks,sim_duration_min,spt_log,ticks_log
3,200,10,1200,200.0,"[{'spt': 10, 'ticks': 120, 'cv': np.float64(0.2100526118306748)}]","[{'ticks': 625, 'cv': np.float64(0.2100526118306748)}, {'ticks': 913, 'cv': np.float64(0.2100526118306748)}, {'ticks': 1057, 'cv': np.float64(0.2100526118306748)}, {'ticks': 1129, 'cv': np.float64(0.2100526118306748)}]"
3,600,10,1200,200.0,"[{'spt': 10, 'ticks': 120, 'cv': np.float64(0.1064358340369137)}]","[{'ticks': 625, 'cv': np.float64(0.1064358340369137)}, {'ticks': 913, 'cv': np.float64(0.1064358340369137)}, {'ticks': 1057, 'cv': np.float64(0.1064358340369137)}, {'ticks': 1129, 'cv': np.float64(0.1064358340369137)}]"
3,1000,10,1200,200.0,"[{'spt': 10, 'ticks': 120, 'cv': np.float64(0.0611721584360681)}]","[{'ticks': 625, 'cv': np.float64(0.0611721584360681)}, {'ticks': 913, 'cv': np.float64(0.0611721584360681)}, {'ticks': 1057, 'cv': np.float64(0.0611721584360681)}, {'ticks': 1129, 'cv': np.float64(0.0611721584360681)}]"
6,200,10,1200,200.0,"[{'spt': 10, 'ticks': 120, 'cv': np.float64(0.2754328514214256)}]","[{'ticks': 625, 'cv': np.float64(0.2754328514214256)}, {'ticks': 913, 'cv': np.float64(0.2754328514214256)}, {'ticks': 1057, 'cv': np.float64(0.2754328514214256)}, {'ticks': 1129, 'cv': np.float64(0.2754328514214256)}]"
6,600,10,1200,200.0,"[{'spt': 10, 'ticks': 120, 'cv': np.float64(0.1573521957109218)}]","[{'ticks': 625, 'cv': np.float64(0.1573521957109218)}, {'ticks': 913, 'cv': np.float64(0.1573521957109218)}, {'ticks': 1057, 'cv': np.float64(0.1573521957109218)}, {'ticks': 1129, 'cv': np.float64(0.1573521957109218)}]"
6,1000,10,1200,200.0,"[{'spt': 10, 'ticks': 120, 'cv': np.float64(0.07674167246428178)}]","[{'ticks': 625, 'cv': np.float64(0.07674167246428178)}, {'ticks': 913, 'cv': np.float64(0.07674167246428178)}, {'ticks': 1057, 'cv': np.float64(0.07674167246428178)}, {'ticks': 1129, 'cv': np.float64(0.07674167246428178)}]"
10,200,10,1200,200.0,"[{'spt': 10, 'ticks': 120, 'cv': np.float64(0.2989711886655609)}]","[{'ticks': 625, 'cv': np.float64(0.2989711886655609)}, {'ticks': 913, 'cv': np.float64(0.2989711886655609)}, {'ticks': 1057, 'cv': np.float64(0.2989711886655609)}, {'ticks': 1129, 'cv': np.float64(0.2989711886655609)}]"
10,600,10,1200,200.0,"[{'spt': 10, 'ticks': 120, 'cv': np.float64(0.09042233428315556)}]","[{'ticks': 625, 'cv': np.float64(0.09042233428315556)}, {'ticks': 913, 'cv': np.float64(0.09042233428315556)}, {'ticks': 1057, 'cv': np.float64(0.09042233428315556)}, {'ticks': 1129, 'cv': np.float64(0.09042233428315556)}]"
10,1000,10,1200,200.0,"[{'spt': 10, 'ticks': 120, 'cv': np.float64(0.08108914798074467)}]","[{'ticks': 625, 'cv': np.float64(0.08108914798074467)}, {'ticks': 913, 'cv': np.float64(0.08108914798074467)}, {'ticks': 1057, 'cv': np.float64(0.08108914798074467)}, {'ticks': 1129, 'cv': np.float64(0.08108914798074467)}]"
14,200,10,1200,200.0,"[{'spt': 10, 'ticks': 120, 'cv': np.float64(0.09567608383822811)}]","[{'ticks': 625, 'cv': np.float64(0.09567608383822811)}, {'ticks': 913, 'cv': np.float64(0.09567608383822811)}, {'ticks': 1057, 'cv': np.float64(0.09567608383822811)}, {'ticks': 1129, 'cv': np.float64(0.09567608383822811)}]"
14,600,10,1200,200.0,"[{'spt': 10, 'ticks': 120, 'cv': np.float64(0.10182133734807655)}]","[{'ticks': 625, 'cv': np.float64(0.10182133734807655)}, {'ticks': 913, 'cv': np.float64(0.10182133734807655)}, {'ticks': 1057, 'cv': np.float64(0.10182133734807655)}, {'ticks': 1129, 'cv': np.float64(0.10182133734807655)}]"
14,1000,10,1200,200.0,"[{'spt': 10, 'ticks': 120, 'cv': np.float64(0.08737806417330977)}]","[{'ticks': 625, 'cv': np.float64(0.08737806417330977)}, {'ticks': 913, 'cv': np.float64(0.08737806417330977)}, {'ticks': 1057, 'cv': np.float64(0.08737806417330977)}, {'ticks': 1129, 'cv': np.float64(0.08737806417330977)}]"
18,200,10,1200,200.0,"[{'spt': 10, 'ticks': 120, 'cv': np.float64(0.15621121581487324)}]","[{'ticks': 625, 'cv': np.float64(0.15621121581487324)}, {'ticks': 913, 'cv': np.float64(0.15621121581487324)}, {'ticks': 1057, 'cv': np.float64(0.15621121581487324)}, {'ticks': 1129, 'cv': np.float64(0.15621121581487324)}]"
18,600,10,1200,200.0,"[{'spt': 10, 'ticks': 120, 'cv': np.float64(0.07773743279242575)}]","[{'ticks': 625, 'cv': np.float64(0.07773743279242575)}, {'ticks': 913, 'cv': np.float64(0.07773743279242575)}, {'ticks': 1057, 'cv': np.float64(0.07773743279242575)}, {'ticks': 1129, 'cv': np.float64(0.07773743279242575)}]"
18,1000,10,1200,200.0,"[{'spt': 10, 'ticks': 120, 'cv': np.float64(0.06793336152273464)}]","[{'ticks': 625, 'cv': np.float64(0.06793336152273464)}, {'ticks': 913, 'cv': np.float64(0.06793336152273464)}, {'ticks': 1057, 'cv': np.float64(0.06793336152273464)}, {'ticks': 1129, 'cv': np.float64(0.06793336152273464)}]"
